KeyId,MyPN,Name,Description,Symbol,Value,Value2,Type,Forward_Voltage,Reverse_Voltage,Breakdown_Voltage,Forward_Current,Reverse_Current,Power_Dissipation,Capacitance,Standoff_Voltage,Clamping_Voltage,Tolerance,Reverse_Recovery_Time,Package,Footprint,Footprint_Filter,Dimensions,Height,Termination,Anode_Marking,Cathode_Marking,Min_Temp,Max_Temp,Operating_Temp,Mount,Reflow_Profile,MSL_Rating,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-DIO-000015,1N4006_D_RECT_800V_1A_DO41,Rectifier Diode 800V 1A,MyLib_Diode:D,1N4006,,Rectifier,1.1V @ 1A,800V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00015,Semiconductors,Diodes,150,50,300,BIN-1,piece,,0.020,USD,2024-01-15,0.020,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000016,1N4007_D_RECT_1KV_1A_DO41,Rectifier Diode 1000V 1A,MyLib_Diode:D,1N4007,,Rectifier,1.1V @ 1A,1000V,,1A,,3W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00016,Semiconductors,Diodes,200,50,400,BIN-1,piece,,0.022,USD,2024-01-15,0.022,LCSC,1,,"Rectifier,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000017,1N4007_D_RECT_1KV_1A_SMA,Rectifier Diode 1000V 1A SMA,MyLib_Diode:D,1N4007,,Rectifier,1.1V @ 1A,1000V,,1A,,3W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00017,Semiconductors,Diodes,120,50,240,BIN-1,piece,1000,0.035,USD,2024-01-15,0.035,LCSC,1,,"Rectifier,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000018,1N4007_D_RECT_1KV_1A_SMB,Rectifier Diode 1000V 1A SMB,MyLib_Diode:D,1N4007,,Rectifier,1.1V @ 1A,1000V,,1A,,3W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00018,Semiconductors,Diodes,100,50,200,BIN-1,piece,1000,0.038,USD,2024-01-15,0.038,LCSC,1,,"Rectifier,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000019,S1M_D_RECT_1KV_1A_SMA,Rectifier Diode 1000V 1A SMA,MyLib_Diode:D,S1M,,Rectifier,1.1V @ 1A,1000V,,1A,,3W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00019,Semiconductors,Diodes,150,50,300,BIN-1,piece,1000,0.035,USD,2024-01-15,0.035,LCSC,1,,"Rectifier,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000020,S1J_D_RECT_600V_1A_SMA,Rectifier Diode 600V 1A SMA,MyLib_Diode:D,S1J,,Rectifier,1.1V @ 1A,600V,,1A,,3W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00020,Semiconductors,Diodes,140,50,280,BIN-1,piece,1000,0.032,USD,2024-01-15,0.032,LCSC,1,,"Rectifier,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000021,S1G_D_RECT_400V_1A_SMA,Rectifier Diode 400V 1A SMA,MyLib_Diode:D,S1G,,Rectifier,1.1V @ 1A,400V,,1A,,3W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00021,Semiconductors,Diodes,130,50,260,BIN-1,piece,1000,0.030,USD,2024-01-15,0.030,LCSC,1,,"Rectifier,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000022,S1A_D_RECT_50V_1A_SMA,Rectifier Diode 50V 1A SMA,MyLib_Diode:D,S1A,,Rectifier,1.1V @ 1A,50V,,1A,,3W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00022,Semiconductors,Diodes,130,50,260,BIN-1,piece,1000,0.028,USD,2024-01-15,0.028,LCSC,1,,"Rectifier,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000030,1N5400_D_RECT_50V_3A_DO201,Rectifier Diode 50V 3A,MyLib_Diode:D,1N5400,,Rectifier,0.95V @ 3A,50V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00030,Semiconductors,Diodes,120,50,240,BIN-1,piece,,0.045,USD,2024-01-15,0.045,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000031,1N5401_D_RECT_100V_3A_DO201,Rectifier Diode 100V 3A,MyLib_Diode:D,1N5401,,Rectifier,0.95V @ 3A,100V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00031,Semiconductors,Diodes,120,50,240,BIN-1,piece,,0.046,USD,2024-01-15,0.046,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000032,1N5402_D_RECT_200V_3A_DO201,Rectifier Diode 200V 3A,MyLib_Diode:D,1N5402,,Rectifier,0.95V @ 3A,200V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00032,Semiconductors,Diodes,100,50,200,BIN-1,piece,,0.047,USD,2024-01-15,0.047,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000033,1N5404_D_RECT_400V_3A_DO201,Rectifier Diode 400V 3A,MyLib_Diode:D,1N5404,,Rectifier,0.95V @ 3A,400V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00033,Semiconductors,Diodes,100,50,200,BIN-1,piece,,0.048,USD,2024-01-15,0.048,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000034,1N5406_D_RECT_600V_3A_DO201,Rectifier Diode 600V 3A,MyLib_Diode:D,1N5406,,Rectifier,0.95V @ 3A,600V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00034,Semiconductors,Diodes,80,25,160,BIN-1,piece,,0.050,USD,2024-01-15,0.050,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000035,1N5408_D_RECT_1KV_3A_DO201,Rectifier Diode 1000V 3A,MyLib_Diode:D,1N5408,,Rectifier,0.95V @ 3A,1000V,,3A,,6.25W,,,,,,DO-201AD,MyLib_Diode_THT:D_DO-201AD,DO-201,10.9mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00035,Semiconductors,Diodes,80,25,160,BIN-1,piece,,0.052,USD,2024-01-15,0.052,LCSC,1,,"Rectifier,THT,DO-201,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000036,S3M_D_RECT_1KV_3A_SMC,Rectifier Diode 1000V 3A SMC,MyLib_Diode:D,S3M,,Rectifier,1.1V @ 3A,1000V,,3A,,6.25W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00036,Semiconductors,Diodes,60,25,120,BIN-1,piece,500,0.080,USD,2024-01-15,0.080,LCSC,1,,"Rectifier,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000037,S3J_D_RECT_600V_3A_SMC,Rectifier Diode 600V 3A SMC,MyLib_Diode:D,S3J,,Rectifier,1.1V @ 3A,600V,,3A,,6.25W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00037,Semiconductors,Diodes,60,25,120,BIN-1,piece,500,0.075,USD,2024-01-15,0.075,LCSC,1,,"Rectifier,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000038,S3G_D_RECT_400V_3A_SMC,Rectifier Diode 400V 3A SMC,MyLib_Diode:D,S3G,,Rectifier,1.1V @ 3A,400V,,3A,,6.25W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00038,Semiconductors,Diodes,60,25,120,BIN-1,piece,500,0.072,USD,2024-01-15,0.072,LCSC,1,,"Rectifier,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000039,S3A_D_RECT_50V_3A_SMC,Rectifier Diode 50V 3A SMC,MyLib_Diode:D,S3A,,Rectifier,1.1V @ 3A,50V,,3A,,6.25W,,,,,,SMC,MyLib_Diode_SMD:D_SMC,SMC,7.9mm x 5.9mm,5.9mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,Diodes Inc.,,,C100000,,,,,,,,,DIO-00039,Semiconductors,Diodes,60,25,120,BIN-1,piece,500,0.070,USD,2024-01-15,0.070,LCSC,1,,"Rectifier,SMD,SMC,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000040,1N5817_D_SCHOTKY_20V_1A_DO41,Schottky Diode 20V 1A DO-41,MyLib_Diode:D_Schottky,1N5817,,Schottky,0.45V @ 1A,20V,,1A,0.5mA @ 20V,1.5W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00040,Semiconductors,Diodes,180,50,360,BIN-1,piece,,0.035,USD,2024-01-15,0.035,LCSC,1,,"Schottky,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000041,1N5818_D_SCHOTKY_30V_1A_DO41,Schottky Diode 30V 1A DO-41,MyLib_Diode:D_Schottky,1N5818,,Schottky,0.55V @ 1A,30V,,1A,0.5mA @ 30V,1.5W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00041,Semiconductors,Diodes,180,50,360,BIN-1,piece,,0.036,USD,2024-01-15,0.036,LCSC,1,,"Schottky,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000042,1N5819_D_SCHOTKY_40V_1A_DO41,Schottky Diode 40V 1A DO-41,MyLib_Diode:D_Schottky,1N5819,,Schottky,0.6V @ 1A,40V,,1A,0.5mA @ 40V,1.5W,,,,,,DO-41,MyLib_Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,DO-41,5.2mm x 2.7mm,2.7mm,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00042,Semiconductors,Diodes,200,50,400,BIN-1,piece,,0.038,USD,2024-01-15,0.038,LCSC,1,,"Schottky,THT,DO-41,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000043,1N5819_D_SCHOTKY_40V_1A_SMA,Schottky Diode 40V 1A SMA,MyLib_Diode:D_Schottky,1N5819,,Schottky,0.6V @ 1A,40V,,1A,0.5mA @ 40V,1.5W,,,,,,SMA,MyLib_Diode_SMD:D_SMA,SMA,5.2mm x 2.6mm,2.6mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00043,Semiconductors,Diodes,150,50,300,BIN-1,piece,1000,0.045,USD,2024-01-15,0.045,LCSC,1,,"Schottky,SMD,SMA,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000044,1N5819_D_SCHOTKY_40V_1A_SMB,Schottky Diode 40V 1A SMB,MyLib_Diode:D_Schottky,1N5819,,Schottky,0.6V @ 1A,40V,,1A,0.5mA @ 40V,1.5W,,,,,,SMB,MyLib_Diode_SMD:D_SMB,SMB,6.6mm x 3.5mm,3.5mm,Through Hole,Bar/Line,No Bar,-55°C,150°C,-55°C to +150°C,SMD,,Level 3,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00044,Semiconductors,Diodes,140,50,280,BIN-1,piece,1000,0.048,USD,2024-01-15,0.048,LCSC,1,,"Schottky,SMD,SMB,1A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000045,1N5820_D_SCHOTKY_20V_3A_DO27,Schottky Diode 20V 3A DO-27,MyLib_Diode:D,1N5820,,Schottky,0.475V @ 3A,20V,,3A,1.0mA @ 20V,3W,,,,,,DO-27,MyLib_Diode_THT:D_DO-201AD,DO-27,9.5mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00045,Semiconductors,Diodes,100,50,200,BIN-1,piece,,0.065,USD,2024-01-15,0.065,LCSC,1,,"Schottky,THT,DO-27,3A",System,2026-01-31 22:30:22,,,,0,0
,EL-DIO-000046,1N5821_D_SCHOTKY_30V_3A_DO27,Schottky Diode 30V 3A DO-27,MyLib_Diode:D,1N5821,,Schottky,0.5V @ 3A,30V,,3A,1.0mA @ 30V,3W,,,,,,DO-27,MyLib_Diode_THT:D_DO-201AD,DO-27,9.5mm x 5.2mm,Standard,Through Hole,Band/Bar,No Band,-55°C,150°C,-55°C to +150°C,THT,,,Available,1,,,ON Semiconductor,,,C100000,,,,,,,,,DIO-00046,Semiconductors,Diodes,100,50,200,BIN-1,piece,,0.066,USD,2024-01-15,0.066,LCSC,1,,"Schottky,THT,DO-27,3A",System,2026-01-31 22:30:22,,,,0,0
