Keyld,MyPN,Name,Description,Value,Value 2,Symbol,Footprint,Footprint_Filter,Package,Manufacturer,Manufacturer_PN,Series,Category,Subcategory,Connector_Type,Family,Standard,Mounting_Type,Mounting_Style,Orientation,Gender,Shielded,Shield_Material,Shield_Plating,Pins_Total,Pins_Configuration,Rows,Contact_Type,Contact_Arrangement,Pitch_mm,Row_Spacing_mm,Length_mm,Width_mm,Height_mm,Mating_Height_mm,PCB_Mounting_Dimensions,Current_Rating_A,Current_Rating_Total_A,Voltage_Rating_V,Contact_Resistance_mOhm,Insulation_Resistance_MOhm,Dielectric_Withstanding_Voltage_V,Impedance_Ohm,Frequency_Max_Hz,Contact_Material,Contact_Plating,Plating_Thickness_um,Contact_Finish,Housing_Material,Housing_Color,Insulator_Material,Insulator_Color,Locking_Mechanism,Polarization,Mating_Cycles,Insertion_Force_N,Withdrawal_Force_N,Operating_Temp_Min_C,Operating_Temp_Max_C,Storage_Temp_Min_C,Storage_Temp_Max_C,IP_Rating,Moisture_Sensitivity_Level,RoHS_Compliant,REACH_Compliant,UL_Certified,UL_File_Number,CSA_Certified,TUV_Certified,Flammability_Rating,Solder_Type,Solder_Temperature_C,Solder_Process,Cleaning_Process,PCB_Retention,Pick_and_Place,Tape_and_Reel,Cable_Type,Cable_Diameter_Max_mm,Wire_Gauge_AWG,Wire_Strip_Length_mm,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,Farnell_URL,Newark_PN,Newark_URL,RS_PN,RS_URL,StockQty,Min_Stock,Max_Stock,StockPlace,Price,Currency,MOQ,Packaging,Datasheet,Drawing_2D,Drawing_3D,PCB_Layout_Suggestion,Application_Note,Assembly_Instructions,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
11,EL-CON_800011,CON_RJ45_8P8C_RA_CETUS,"RJ45 8P8C jack, right angle, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_Cetus_J1B1211CCD_Horizontal,*8P8C*,THT,Cetus,J1B1211CCD,J1B,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,0,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"rj45,8p8c,ethernet,cetus",script,2026-02-17 06:45:32,,,1.0,0,0
12,EL-CON_800012,CON_RJ45_8P8C_SHIELDED_RA_CONNFLY,"RJ45 8P8C shielded jack, right angle, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C_Shielded,Connector_RJ:RJ45_Connfly_DS1128-09-S8xx-S_Horizontal,*8P8C*SHIELD*,THT,Connfly,DS1128-09-S8xx-S,DS1128,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"rj45,8p8c,ethernet,shielded,connfly",script,2026-02-17 06:45:32,,,1.0,0,0
13,EL-CON_800013,CON_RJ45_8P8C_LED_MAG_RA_HALO,"RJ45 8P8C jack with LEDs and magnetics, right angle, through hole, 10/100 Base-T, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Halo_HFJ11-x2450E-LxxRL_Horizontal,Connector_RJ:RJ45_HALO_HFJ11-x2450E-LxxRL_Horizontal,*8P8C*LED*,THT,HALO Electronics,HFJ11-x2450E-LxxRL,HFJ11,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.haloelectronics.com/pdf/fastjack-100baset.pdf,,,,,,1,,"rj45,8p8c,ethernet,led,magnetics,halo",script,2026-02-17 06:45:32,,,1.0,0,0
14,EL-CON_800014,CON_RJ45_8P8C_MAG_RA_HALO,"RJ45 8P8C jack with magnetics, right angle, through hole, 10/100 Base-T, no LEDs, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Halo_HFJ11-x2450ERL_Horizontal,Connector_RJ:RJ45_HALO_HFJ11-x2450ERL_Horizontal,*8P8C*,THT,HALO Electronics,HFJ11-x2450ERL,HFJ11,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.haloelectronics.com/pdf/fastjack-100baset.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,halo",script,2026-02-17 06:45:32,,,1.0,0,0
15,EL-CON_800015,CON_RJ45_8P8C_MAG_RA_HALO_ALT,"RJ45 8P8C jack with magnetics, right angle, through hole, 10/100 Base-T, no LEDs, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Halo_HFJ11-x2450HRL_Horizontal,Connector_RJ:RJ45_HALO_HFJ11-x2450HRL_Horizontal,*8P8C*,THT,HALO Electronics,HFJ11-x2450HRL,HFJ11,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.haloelectronics.com/pdf/fastjack-100baset.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,halo",script,2026-02-17 06:45:32,,,1.0,0,0
16,EL-CON_800016,CON_RJ45_8P8C_LED_MAG_RA_HANRUN,"RJ45 8P8C jack with LEDs and magnetics, right angle, through hole, 10/100 Base-T, AutoMDIX, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Hanrun_HR911105A_Horizontal,Connector_RJ:RJ45_Hanrun_HR911105A_Horizontal,*8P8C*LED*,THT,Hanrun,HR911105A,HR91,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,C12074,https://www.lcsc.com/product-detail/C12074.html,,,,,,,,,,,,,,,,,,,https://datasheet.lcsc.com/lcsc/1811141815_HANRUN-Zhongshan-HanRun-Elec-HR911105A_C12074.pdf,,,,,,1,,"rj45,8p8c,ethernet,led,magnetics,hanrun",script,2026-02-17 06:45:32,,,1.0,0,0
17,EL-CON_800017,CON_RJ45_8P8C_MAG_RA_KYCON,"RJ45 8P8C jack with magnetics, right angle, through hole, 10/100 Base-T, AutoMDIX, 1.5A, 125V, 0°C to +70°C",,,Connector:RJ45_Kycon_G7LX-A88S7-BP-xx_Horizontal,Connector_RJ:RJ45_Kycon_G7LX-A88S7-BP-xx_Horizontal,*8P8C*,THT,Kycon,G7LX-A88S7-BP-xx,G7LX,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,http://www.kycon.com/Pub_Eng_Draw/G7LX-A88S7-BP-GY.pdf,,,,,,1,,"rj45,8p8c,ethernet,magnetics,kycon",script,2026-02-17 06:45:32,,,1.0,0,0
18,EL-CON_800018,CON_RJ45_8P8C_VERT_MOLEX,"RJ45 8P8C jack, vertical, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_Molex_0855135013_Vertical,*8P8C*,THT,Molex,0855135013,85513,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Vertical,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.molex.com/pdm_docs/sd/855135013_sd.pdf,,,,,,1,,"rj45,8p8c,ethernet,vertical,molex",script,2026-02-17 06:45:32,,,1.0,0,0
19,EL-CON_800019,CON_RJ45_8P8C_RA_MOLEX,"RJ45 8P8C jack, right angle, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_Molex_9346520x_Horizontal,*8P8C*,THT,Molex,9346520x,93465,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://www.molex.com/pdm_docs/sd/934650101_sd.pdf,,,,,,1,,"rj45,8p8c,ethernet,molex",script,2026-02-17 06:45:32,,,1.0,0,0
20,EL-CON_800020,CON_RJ45_8P8C_RA_NINIGI,"RJ45 8P8C jack, right angle, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_Ninigi_GE,*8P8C*,THT,Ninigi,GE,GE,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Right Angle,Female,0,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"rj45,8p8c,ethernet,ninigi",script,2026-02-17 06:45:32,,,1.0,0,0
21,EL-CON_800021,CON_RJ45_8P8C_VERT_OST,"RJ45 8P8C jack, vertical, through hole, 1.5A, 125V, 0°C to +70°C",,,Connector:8P8C,Connector_RJ:RJ45_OST_PJ012-8P8CX_Vertical,*8P8C*,THT,OST,PJ012-8P8CX,PJ012,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,PCB,Through Hole,Vertical,Female,0,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"rj45,8p8c,ethernet,vertical,ost",script,2026-02-17 06:45:32,,,1.0,0,0
22,EL-CON_800022,CON_RJ45_PLUG_METZ,"RJ45 8P8C plug connector for cable mounting, 1.5A, 125V, 0°C to +70°C",,,,Connector_RJ:RJ45_Plug_Metz_AJP92A8813,*8P8C*,Cable,Metz,AJP92A8813,AJP92,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3,Cable,Crimp,Straight,Male,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,125.0,20.0,500.0,1500.0,100.0,100 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,0,70,,,,,1,1,1,,1,0,UL94 V-0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"rj45,8p8c,ethernet,plug,metz",script,2026-02-17 06:45:32,,,1.0,0,0
23,EL-CON_800023,CON_RJ45_GIGABIT_POE_PULSE,"RJ45 8P8C Gigabit jack with magnetics and PoE support, right angle, through hole, 1.5A, 57V, -40°C to +85°C, 75W PoE",,,Connector:RJ45_JK00177,Connector_RJ:RJ45_Pulse_JK00177NL_Horizontal,*8P8C*,THT,Pulse Electronics,JK00177NL,JK,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3at,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,21.3,15.2,13.7,,,1.5,,57.0,20.0,500.0,1500.0,100.0,350 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-40,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,J432,https://www.mouser.com/datasheet/2/364/J432-1882262.pdf,,,,,,,,,,,,,,,,,https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/J432/doc_part/J432.pdf,,,,,,1,,"rj45,gigabit,poe,magnetics,pulse",script,2026-02-17 06:45:32,,,1.0,0,0
24,EL-CON_800024,CON_RJ45_GIGABIT_PULSE,"RJ45 8P8C Gigabit jack with magnetics, right angle, through hole, 10/100/1000 Base-T, AutoMDIX, 1.5A, 57V, -40°C to +85°C",,,Connector:RJ45_JK0654219,Connector_RJ:RJ45_Pulse_JK0654219NL_Horizontal,*8P8C*,THT,Pulse Electronics,JK0654219NL,JK,Modular Connector,RJ45,RJ45,8P8C,IEEE 802.3ab,PCB,Through Hole,Right Angle,Female,1,,,8,8P8C,1,Spring,,2.54,,,,,,,1.5,,57.0,20.0,500.0,1500.0,100.0,350 MHz,Phosphor Bronze,Gold,0.76,,Thermoplastic,Black,Polyamide (PA),Black,Friction,Keyed,750,,,-40,85,,,,,1,1,1,,1,0,UL94 V-0,,,Wave,,Board Lock,0,1,,,,,,,,,,,,,,,,,,,,,,,,,https://media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/JK%20Series.pdf,,,,,,1,,"rj45,gigabit,magnetics,pulse",script,2026-02-17 06:45:32,,,1.0,0,0
