Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
14,EL-REL-000014,ReedRelay_DPST_StandexMeder_DIP,"Standex-Meder DIP reed relay, DPST-NO, low profile package, for dual-channel switching applications",DIPxx-2Axx-21x,DPST Reed,Relay:DIPxx-2Axx-21x,Relay_THT:Relay_StandexMeder_DIP_LowProfile,Relay*StandexMeder*DIP*LowProfile*,5V DC,100,0.25W,DPST-NO (2 Form A),0.25A,100V,0.2Ω,,,0.5ms,0.1ms,100000000,10000000,Reed Relay,Through Hole,DIP,20.0 x 7.6 x 7.5mm,7.5mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf,1,1,Standex-Meder,DIPxx-2Axx-21x,DIP,,,,,,,,,,,Relays,Reed Relays,,,,,,,,,,,,1,,Single Pole Reed Relay DPST,,2024-01-15,,2024-01-15,1,,
15,EL-REL-000015,SignalRelay_SPDT_24V_HighSpeed_Panasonic_DR,"Panasonic DR - High speed SPDT signal relay, 24V DC coil, single side stable, polarized coil, ideal for telecommunications",DR-24V,24V SPDT High Speed,Relay:DR-24V,Relay_THT:Relay_SPDT_Panasonic_DR,*Relay*SPDT*Panasonic?DR*,24V DC,2880,0.2W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-24V,DR,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,highly reliable signal relay,,2024-01-15,,2024-01-15,1,,
16,EL-REL-000016,SignalRelay_SPDT_3V_HighSpeed_Panasonic_DR,"Panasonic DR - High speed SPDT signal relay, 3V DC coil, single side stable, polarized coil",DR-3V,3V SPDT High Speed,Relay:DR-3V,Relay_THT:Relay_SPDT_Panasonic_DR,*Relay*SPDT*Panasonic?DR*,3V DC,45,0.2W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-3V,DR,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,highly reliable signal relay,,2024-01-15,,2024-01-15,1,,
17,EL-REL-000017,SignalRelay_SPDT_5V_HighSpeed_Panasonic_DR,"Panasonic DR - High speed SPDT signal relay, 5V DC coil, single side stable, polarized coil",DR-5V,5V SPDT High Speed,Relay:DR-5V,Relay_THT:Relay_SPDT_Panasonic_DR,*Relay*SPDT*Panasonic?DR*,5V DC,125,0.2W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,3ms,50000000,100000,Electromechanical Monostable,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-5V,DR,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,highly reliable signal relay,,2024-01-15,,2024-01-15,1,,
18,EL-REL-000018,SignalRelay_SPDT_3V_Latching_Panasonic_DRL,"Panasonic DR-L - High speed SPDT latching relay, 3V DC coil, single coil latching, polarized",DR-L-3V,3V SPDT Latching,Relay:DR-L-3V,Relay_THT:Relay_SPDT_Panasonic_DR-L,*Relay*SPDT*Panasonic?DR?L*,3V DC,90,0.1W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,5ms,50000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-L-3V,DR-L,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,higly reliable single latch,,2024-01-15,,2024-01-15,1,,
19,EL-REL-000019,SignalRelay_SPDT_3V_DualLatching_Panasonic_DRL2_Form1,"Panasonic DR-L2 - High speed SPDT dual coil latching relay, 3V DC, Form 1 (Set A1)",DR-L2-3V_Form1,3V SPDT Dual Latch A1,Relay:DR-L2-3V_Form1,Relay_THT:Relay_SPDT_Panasonic_DR-L2,*Relay*SPDT*Panasonic?DR?L2*,3V DC,45,0.2W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,5ms,50000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-L2-3V_Form1,DR-L2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,highly reliable dual latch,,2024-01-15,,2024-01-15,1,,
20,EL-REL-000020,SignalRelay_SPDT_3V_DualLatching_Panasonic_DRL2_Form2,"Panasonic DR-L2 - High speed SPDT dual coil latching relay, 3V DC, Form 2 (Set B1)",DR-L2-3V_Form2,3V SPDT Dual Latch B1,Relay:DR-L2-3V_Form2,Relay_THT:Relay_SPDT_Panasonic_DR-L2,*Relay*SPDT*Panasonic?DR?L2*,3V DC,45,0.2W,SPDT (1 Form C),2A,30V,50mΩ,,,5ms,5ms,50000000,100000,Electromechanical Latching,Through Hole,DIP,15.0 x 7.5 x 9.5mm,9.5mm,PC Pin,-40°C,70°C,-40°C to 70°C,,,https://mediap.industry.panasonic.eu/assets/download-files/import/ds_dr_en_discon.pdf,1,1,Panasonic,DR-L2-3V_Form2,DR-L2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,highly reliable dual latch,,2024-01-15,,2024-01-15,1,,
21,EL-REL-000021,SignalRelay_DPDT_12V_NonLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, through hole, 12V DC coil, 2A switching",EC2-12NU,12V DPDT Non-Latching,Relay:EC2-12NU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-12NU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
22,EL-REL-000022,SignalRelay_DPDT_12V_SingleLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, through hole, 12V DC coil",EC2-12SNU,12V DPDT Single Latch,Relay:EC2-12SNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-12SNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
23,EL-REL-000023,SignalRelay_DPDT_12V_DualLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, through hole, 12V DC coil",EC2-12TNU,12V DPDT Dual Latch,Relay:EC2-12TNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU_DoubleCoil,Relay*Kemet*EC2*DoubleCoil*,12V DC,514,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-12TNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
24,EL-REL-000024,SignalRelay_DPDT_24V_NonLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, through hole, 24V DC coil, 2A switching",EC2-24NU,24V DPDT Non-Latching,Relay:EC2-24NU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-24NU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
25,EL-REL-000025,SignalRelay_DPDT_24V_SingleLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, through hole, 24V DC coil",EC2-24SNU,24V DPDT Single Latch,Relay:EC2-24SNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-24SNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
26,EL-REL-000026,SignalRelay_DPDT_24V_DualLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, through hole, 24V DC coil",EC2-24TNU,24V DPDT Dual Latch,Relay:EC2-24TNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU_DoubleCoil,Relay*Kemet*EC2*DoubleCoil*,24V DC,1440,0.4W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-24TNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
27,EL-REL-000027,SignalRelay_DPDT_3V_NonLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, through hole, 3V DC coil",EC2-3NU,3V DPDT Non-Latching,Relay:EC2-3NU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-3NU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
28,EL-REL-000028,SignalRelay_DPDT_3V_SingleLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, through hole, 3V DC coil",EC2-3SNU,3V DPDT Single Latch,Relay:EC2-3SNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-3SNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
29,EL-REL-000029,SignalRelay_DPDT_3V_DualLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, through hole, 3V DC coil",EC2-3TNU,3V DPDT Dual Latch,Relay:EC2-3TNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU_DoubleCoil,Relay*Kemet*EC2*DoubleCoil*,3V DC,32,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-3TNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
30,EL-REL-000030,SignalRelay_DPDT_4.5V_NonLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, through hole, 4.5V DC coil",EC2-4.5NU,4.5V DPDT Non-Latching,Relay:EC2-4.5NU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,4.5V DC,145,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-4.5NU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
