KeyId,MyPN,Name,Description,Value,Value2,FET_Type,Channel,Mode,Material,VDS,VGS,VGS_Threshold,ID_Continuous,ID_Pulse,RDS_On,RDS_On_Condition,Power_Total,Input_Capacitance,Output_Capacitance,Reverse_Capacitance,Gate_Charge_Total,Gate_Charge_GS,Gate_Charge_GD,Turn_On_Delay,Rise_Time,Turn_Off_Delay,Fall_Time,Diode_Forward_Voltage,Diode_Recovery_Time,IDSS,IGSS,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000023,Si4542DY,"Dual N and P-Channel MOSFET, 30V, 6A/5.1A, SOIC-8",N/P-MOS 30V 6A/5.1A 28mΩ/45mΩ,Complementary,MOSFET,N+P-Channel,Enhancement,Silicon,30V,±20V,1-3V,"6A (N), -5.1A (P)","20A (N), -20A (P)","28mΩ (N), 45mΩ (P)","VGS=10V, ID=6A/5.1A",2.5W,"830pF (N), 1000pF (P)","280pF (N), 350pF (P)","110pF (N), 140pF (P)","15nC (N), 18nC (P)","4nC (N), 5nC (P)","5nC (N), 6nC (P)",12ns,18ns,25ns,15ns,1.2V,35ns,1µA,±100nA,SOIC-8,4.98x3.99mm,1.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NPN_PNP_E1B1C2E2B2C1,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,SOIC*3.9x4.9mm*P1.27mm*,,1,1,Vishay,Si4542DY,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000024,CSD13380F3,"N-Channel MOSFET, 12V, 3.6A, 76mΩ, PicoStar",N-MOS 12V 3.6A 76mΩ,Extremely Small,MOSFET,N-Channel,Enhancement,Silicon,12V,±8V,0.8-1.5V,3.6A,10A,76mΩ,"VGS=4.5V, ID=1A",1.5W,270pF,70pF,30pF,0.91nC,0.35nC,0.25nC,6ns,4ns,11ns,4ns,1.0V,7ns,1µA,10nA,PicoStar,0.73x0.64mm,0.20mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:Texas_PicoStar_DFN-3_0.69x0.60mm,*PicoStar*DFN?3*,,1,1,Texas Instruments,CSD13380F3,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000025,GS66508B,"Bottom-side cooled 650V E-mode GaN transistor, 30A, 50mΩ, GaNPX",N-GaN 650V 30A 50mΩ,High Speed,GaNFET,N-Channel,Enhancement,GaN,650V,±10V,1.1-2.2V,30A,60A,50mΩ,"VGS=6V, ID=30A",125W,210pF,65pF,2pF,6.5nC,2.3nC,1.8nC,3.5ns,4.2ns,6.8ns,3.2ns,1.5V,,100µA,1µA,GaNPX,7.00x8.40mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_DFN_QFN:GaN_GS66508B_7x8.4mm,GaN?Systems?GaNPX*7x8.4mm*,,1,1,GaN Systems,GS66508B,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000026,EPC2035,"60V E-mode GaN transistor, 1.7A, 45mΩ, BGA-4",N-GaN 60V 1.7A 45mΩ,eGaN,GaNFET,N-Channel,Enhancement,GaN,60V,±6V,0.7-1.5V,1.7A,6A,45mΩ,"VGS=5V, ID=1.7A",1.5W,60pF,25pF,1pF,0.7nC,0.25nC,0.15nC,2.1ns,1.8ns,3.5ns,1.7ns,1.8V,,100µA,1µA,BGA-4,0.90x0.90mm,0.45mm,SMD,,,-40 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_BGA:EPC_BGA-4_0.9x0.9mm_Layout2x2_P0.45mm,EPC?BGA*0.9x0.9mm?Layout2x2?P0.45mm*,,1,1,EPC,EPC2035,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000027,IGT60R070D1,"600V CoolGaN N-Channel Power Transistor, 31A, 70mΩ, HSOF-8",N-GaN 600V 31A 70mΩ,CoolGaN,GaNFET,N-Channel,Enhancement,GaN,600V,±20V,1.2-2.5V,31A,60A,70mΩ,"VGS=6V, ID=20A",156W,230pF,70pF,5pF,6.2nC,2.1nC,2.0nC,5.8ns,3.2ns,10.5ns,2.8ns,1.4V,,10µA,100nA,HSOF-8,5.15x6.15mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:Infineon_PG-HSOF-8-3,Infineon*PG*HSOF*3*,,1,1,Infineon,IGT60R070D1,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000028,C3M0065090J,"900V SiC MOSFET, 36A, 65mΩ, TO-263-7",N-SiC 900V 36A 65mΩ,Automotive,SiCFET,N-Channel,Enhancement,SiC,900V,±20V,2.1-4.0V,36A,100A,65mΩ,"VGS=15V, ID=20A",139W,650pF,55pF,8pF,22nC,8nC,7nC,11ns,16ns,25ns,12ns,4.5V,21ns,1µA,100nA,TO-263-7,10.26x9.85mm,4.80mm,SMD,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_SMD:TO-263-7_TabPin8,TO?263*TabPin8*,,1,1,Cree/Wolfspeed,C3M0065090J,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000029,C2M0025120D,"1200V SiC MOSFET, 90A, 25mΩ, TO-247",N-SiC 1200V 90A 25mΩ,,SiCFET,N-Channel,Enhancement,SiC,1200V,±25V,2.0-4.0V,90A,260A,25mΩ,"VGS=20V, ID=50A",463W,2900pF,300pF,25pF,120nC,40nC,35nC,19ns,32ns,41ns,24ns,4.5V,38ns,100µA,100nA,TO-247,15.87x20.83mm,5.31mm,THT,,,-55 to 150°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_TO_SOT_THT:TO-247-3_Vertical,TO?247*,,1,1,Cree/Wolfspeed,C2M0025120D,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000030,SCTL35N65G2V,"650V SiC Power MOSFET, 40A, 55mΩ, PowerFLAT",N-SiC 650V 40A 55mΩ,,SiCFET,N-Channel,Enhancement,SiC,650V,±25V,2.5-4.5V,40A,160A,55mΩ,"VGS=18V, ID=20A",150W,1150pF,90pF,12pF,35nC,12nC,10nC,15ns,22ns,38ns,18ns,4.0V,28ns,1µA,100nA,PowerFLAT 8x8,8.00x8.00mm,0.95mm,SMD,,,-55 to 175°C,,MyLib_Transistor:Q_NMOS_GDS,MyLib_Package_DFN_QFN:ST_PowerFLAT_HV-5_8x8mm,ST?PowerFLAT?HV*8x8mm*,,1,1,STMicroelectronics,SCTL35N65G2V,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000031,JFE150DBV,"Ultra-Low-Noise Audio N-Channel JFET, 40V, 50mA, SOT-23-5",N-JFET 40V 50mA 25Ω,"Audio, 0.9nV/√Hz",JFET,N-Channel,Depletion,Silicon,40V,-40V,-0.8 to -2.5V,50mA,100mA,25Ω,"VGS=0V, ID=10mA",250mW,15pF,4pF,2.5pF,,,,,,,,,,20-60mA,10pA,SOT-23-5,2.90x2.80mm,1.10mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_NJFET_GDS,MyLib_Package_TO_SOT_SMD:SOT-23-5,SOT?23?5*,,1,1,Texas Instruments,JFE150DBVR,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000032,JFE2140D,"Ultra-Low Noise, Matched, Dual N-Channel JFET, 40V, SOIC-8",Dual N-JFET 40V 50mA,"Audio, Matched",JFET,N-Channel,Depletion,Silicon,40V,-40V,-0.5 to -2.5V,50mA per FET,100mA,25Ω,"VGS=0V, ID=10mA",500mW,15pF,4pF,2.5pF,,,,,,,,,,20-60mA,10pA,SOIC-8,4.98x3.99mm,1.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NPN_NPN_E1B1C2E2B2C1,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,SOIC?8*3.9x4.9mm*P1.27mm*,,1,1,Texas Instruments,JFE2140D,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000033,DMN32D2LDF,"Common Source Dual N-Channel MOSFET, 30V, 400mA, 1.5Ω, SOT-353",Dual N-MOS 30V 0.4A 1.5Ω,,MOSFET,N-Channel,Enhancement,Silicon,30V,±20V,0.5-1.5V,0.4A per FET,0.8A,1.5Ω,"VGS=10V, ID=0.2A",400mW,50pF,15pF,5pF,1.2nC,0.3nC,0.4nC,8ns,10ns,18ns,12ns,1.0V,25ns,1µA,10nA,SOT-353,2.20x2.20mm,1.00mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NMOS_S1G1S2G2D2D1,MyLib_Package_TO_SOT_SMD:SOT-353_SC-70-5,SOT?353*,,1,1,Diodes Inc.,DMN32D2LDF-7,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000034,FDS6890A,"Dual N-Channel PowerTrench MOSFET, 20V, 7.5A, 18mΩ, SOIC-8",Dual N-MOS 20V 7.5A 18mΩ,,MOSFET,N-Channel,Enhancement,Silicon,20V,±12V,0.6-1.5V,7.5A per FET,15A,18mΩ,"VGS=4.5V, ID=7.5A",2W,1950pF,600pF,250pF,28nC,4.5nC,7.5nC,8ns,14ns,28ns,16ns,1.2V,20ns,1µA,100nA,SOIC-8,4.98x3.99mm,1.75mm,SMD,,,-55 to 150°C,,MyLib_Transistor:Q_Dual_NMOS_G1S2G2D2S1D1,MyLib_Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,SOIC*3.9x4.9mm*P1.27mm*,,1,1,onsemi,FDS6890A,,,,,,,,,,,,Transistor,FET,,,,,pcs,,,,,,,1,,,,,,,,0,0
