KeyId,MyPN,Name,Description,Value,Value2,Device_Type,Subtype,Technology,VCE,VGE,IC_Continuous,IC_Pulse,VCE_Sat,Power_Total,HFE,Switching_Speed,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000021,FS25R12W1T7,"25A, 1200V, 3-phase IGBT module with Freewheeling Diode and NTC",IGBT Module 1200V 25A,EasyPACK-1B,IGBT,Power Module,TRENCHSTOP,1200V,±20V,25A,50A,1.85V,20W x 6,,,EasyPACK-1B,56.7x34.8mm,12mm,Through Hole,-40°C,150°C,-40 to 150°C,3,MyLib_Transistor:Q_NIGBT_GCE,,Infineon*EasyPACK?1B*,https://www.infineon.com/datasheet/fs25r12w1t7.pdf,1,1,Infineon,FS25R12W1T7,EasyPACK,C524262,,726-FS25R12W1T7,,448-FS25R12W1T7-ND,,2842960,,,,Transistor,Other,0,0,0,,pcs,15,24.50,USD,2025-01-22,24.00,Mouser,1,"3-phase IGBT module, 5k NTC","IGBT,Module,Power,1200V,25A,EasyPACK",,,,,1.0,0,0
,EL-TST-000022,FS75R07N2E4,"75A, 650V, 3-phase IGBT module with Freewheeling Diode, NTC",IGBT Module 650V 75A,AG-Econo2,IGBT,Power Module,TRENCHSTOP,650V,±20V,75A,150A,1.55V,250W,,,AG-Econo2,92.5x34.8mm,17mm,Through Hole,-40°C,150°C,-40 to 150°C,3,MyLib_Transistor:Q_NIGBT_GCE,,*Infineon*AG*ECONO2*,https://www.infineon.com/datasheet/fs75r07n2e4.pdf,1,1,Infineon,FS75R07N2E4,EconoPACK,,,726-FS75R07N2E4,,448-FS75R07N2E4-ND,,,,,,Transistor,Other,0,0,0,,pcs,10,62.30,USD,,,,1,Industrial IGBT module,"IGBT,Module,Power,650V,75A,Econo2",,,,,1.0,0,0
,EL-TST-000023,STGIPS10C60-H,"10A, 600V, IPM, 3-phase, Control Logic, Positive Input",IPM 600V 10A,SDIP-25L,IGBT,Intelligent Power Module,MEMS,600V,15V,10A,20A,1.9V,33W x 6,,20kHz,SDIP-25L,37.8x12.6mm,3.6mm,Through Hole,-40°C,125°C,-40 to 125°C,3,MyLib_Transistor:Q_NIGBT_GCE,,ST*SDIP*,https://www.st.com/resource/en/datasheet/stgips10c60-h.pdf,1,1,STMicroelectronics,STGIPS10C60-H,SLLIMM,C162057,,511-STGIPS10C60-H,,497-16276-ND,,2692832,,,,Transistor,Other,0,0,0,,pcs,30,6.15,USD,,,,1,Small Low-Loss Intelligent Molded Module,"IPM,IGBT,Module,600V,10A,SDIP",,,,,1.0,0,0
,EL-TST-000024,STGIPS20K60,"18A, 600V, IPM, 3-phase, Control Logic, Negative Input",IPM 600V 18A,SDIP-25L,IGBT,Intelligent Power Module,MEMS,600V,15V,18A,36A,1.9V,52W x 6,,20kHz,SDIP-25L,37.8x12.6mm,3.6mm,Through Hole,-40°C,125°C,-40 to 125°C,3,MyLib_Transistor:Q_NIGBT_GCE,,ST*SDIP*,https://www.st.com/resource/en/datasheet/stgips20k60.pdf,1,1,STMicroelectronics,STGIPS20K60,SLLIMM,C162063,,511-STGIPS20K60,,497-10949-ND,,2320655,,,,Transistor,Other,0,0,0,,pcs,30,8.25,USD,,,,1,Small Low-Loss Intelligent Molded Module,"IPM,IGBT,Module,600V,18A,SDIP",,,,,1.0,0,0
,EL-TST-000025,MG1215H-XBN2MM,"15A, 1200V, 3-phase IGBT module, Brake Chopper, Rectifier",IGBT Module 1200V 15A,Package-H,IGBT,Power Module,NPT,1200V,±20V,15A,30A,1.7V,105W x 6,,20kHz,XBN2MM,73x32mm,12mm,Through Hole,-40°C,125°C,-40 to 125°C,3,MyLib_Transistor:Q_NIGBT_GCE,,Littelfuse*Package*H*XBN2MM*,https://www.littelfuse.com/datasheet/mg1215h-xbn2mm.pdf,1,1,Littelfuse,MG1215H-XBN2MM,,,,576-MG1215H-XBN2MM,,,,,,,,Transistor,Other,0,0,0,,pcs,10,28.40,USD,,,,1,CIB configuration with rectifier,"IGBT,Module,Power,1200V,15A,Package-H",,,,,1.0,0,0
,EL-TST-000026,FP15R12W2T4,"15A, 1200V, IGBT module with brake chopper, rectifier, NTC",IGBT Module 1200V 15A,EasyPIM-2B,IGBT,Power Module,TRENCHSTOP,1200V,±20V,15A,30A,1.85V,145W,,,EasyPIM-2B,56.7x40.8mm,12mm,Through Hole,-40°C,150°C,-40 to 150°C,3,MyLib_Transistor:Q_NIGBT_GCE,,Infineon*EasyPIM*2B*,https://www.infineon.com/datasheet/fp15r12w2t4.pdf,1,1,Infineon,FP15R12W2T4,EasyPIM,C525077,,726-FP15R12W2T4,,448-FP15R12W2T4-ND,,2392066,,,,Transistor,Other,0,0,0,,pcs,15,20.80,USD,,,,1,PIM configuration,"IGBT,Module,PIM,1200V,15A,EasyPIM",,,,,1.0,0,0
,EL-TST-000027,FP25R12W2T4,"25A, 1200V, IGBT module with brake chopper, rectifier, NTC",IGBT Module 1200V 25A,EasyPIM-2B,IGBT,Power Module,TRENCHSTOP,1200V,±20V,25A,50A,1.85V,175W,,,EasyPIM-2B,56.7x40.8mm,12mm,Through Hole,-40°C,150°C,-40 to 150°C,3,MyLib_Transistor:Q_NIGBT_GCE,,Infineon*EasyPIM*2B*,https://www.infineon.com/datasheet/fp25r12w2t4.pdf,1,1,Infineon,FP25R12W2T4,EasyPIM,C525078,,726-FP25R12W2T4,,448-FP25R12W2T4-ND,,2392067,,,,Transistor,Other,0,0,0,,pcs,15,24.30,USD,,,,1,PIM configuration,"IGBT,Module,PIM,1200V,25A,EasyPIM",,,,,1.0,0,0
,EL-TST-000028,IRG4BC30U,"23A, 600V, N-Channel IGBT with ultra-fast diode",IGBT 600V 23A 1.8V,TO-220,IGBT,N-Channel,Planar,600V,±20V,23A,46A,1.8V,100W,,40kHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.infineon.com/datasheet/irg4bc30u.pdf,1,1,International Rectifier,IRG4BC30U,Gen4,C1490,,942-IRG4BC30U,,IRG4BC30U-ND,,,,,,Transistor,Other,0,0,0,,pcs,50,1.45,USD,,,,1,Ultrafast IGBT,"IGBT,Power,600V,23A,TO-220",,,,,1.0,0,0
,EL-TST-000029,IRG4BC20K,"16A, 600V, N-Channel IGBT, 10kHz switching",IGBT 600V 16A 1.8V,TO-220,IGBT,N-Channel,Planar,600V,±20V,16A,32A,1.8V,60W,,10kHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.infineon.com/datasheet/irg4bc20k.pdf,1,1,International Rectifier,IRG4BC20K,Gen4,C1493,,942-IRG4BC20K,,IRG4BC20K-ND,,,,,,Transistor,Other,0,0,0,,pcs,50,1.25,USD,,,,1,Medium speed IGBT,"IGBT,Power,600V,16A,TO-220",,,,,1.0,0,0
,EL-TST-000030,FGA25N120,"25A, 1200V, N-Channel IGBT with anti-parallel diode",IGBT 1200V 25A 1.9V,TO-3P,IGBT,N-Channel,Trench,1200V,±20V,25A,50A,1.9V,310W,,10kHz,TO-3P-3,15.8x20.0mm,20.0mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-3P-3_Vertical,,https://www.onsemi.com/pdf/datasheet/fga25n120-anc-d.pdf,1,1,ON Semiconductor,FGA25N120,,C12353,,512-FGA25N120,,FGA25N120-ND,,9557246,,,,Transistor,Other,0,0,0,,pcs,30,2.85,USD,2025-01-25,2.75,Mouser,1,NPT Trench IGBT,"IGBT,Power,1200V,25A,TO-3P",,,,,1.0,0,0
,EL-TST-000031,FGA60N65,"60A, 650V, N-Channel IGBT, Trench technology",IGBT 650V 60A 1.6V,TO-3P,IGBT,N-Channel,Trench,650V,±20V,60A,120A,1.6V,300W,,20kHz,TO-3P-3,15.8x20.0mm,20.0mm,Through Hole,-55°C,150°C,-55 to 150°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-3P-3_Vertical,,https://www.onsemi.com/pdf/datasheet/fga60n65-s3a-d.pdf,1,1,ON Semiconductor,FGA60N65,,C12988,,512-FGA60N65,,FGA60N65-ND,,9557260,,,,Transistor,Other,0,0,0,,pcs,30,4.20,USD,,,,1,Field Stop Trench IGBT,"IGBT,Power,650V,60A,TO-3P",,,,,1.0,0,0
,EL-TST-000032,IKW40N120T2,"40A, 1200V, N-Channel IGBT, TrenchStop, TO-247",IGBT 1200V 40A 1.7V,TO-247,IGBT,N-Channel,TrenchStop,1200V,±20V,40A,80A,1.7V,350W,,20kHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-40°C,175°C,-40 to 175°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.infineon.com/datasheet/ikw40n120t2.pdf,1,1,Infineon,IKW40N120T2,TrenchStop,C2020,,726-IKW40N120T2,,IKW40N120T2-ND,,2516427,,,,Transistor,Other,0,0,0,,pcs,30,3.95,USD,2025-01-20,3.85,Digikey,1,High efficiency IGBT,"IGBT,Power,1200V,40A,TO-247",,,,,1.0,0,0
,EL-TST-000033,IKW75N60T,"75A, 600V, N-Channel IGBT, TrenchStop, TO-247",IGBT 600V 75A 1.5V,TO-247,IGBT,N-Channel,TrenchStop,600V,±20V,75A,150A,1.5V,428W,,20kHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-40°C,175°C,-40 to 175°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.infineon.com/datasheet/ikw75n60t.pdf,1,1,Infineon,IKW75N60T,TrenchStop,C2021,,726-IKW75N60T,,IKW75N60T-ND,,2516428,,,,Transistor,Other,0,0,0,,pcs,30,5.20,USD,,,,1,High efficiency IGBT,"IGBT,Power,600V,75A,TO-247",,,,,1.0,0,0
,EL-TST-000034,IRG7PH50U,"50A, 1200V, N-Channel IGBT, Co-Pack diode",IGBT 1200V 50A 1.7V,TO-247,IGBT,N-Channel,Trench,1200V,±20V,50A,100A,1.7V,379W,,20kHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-55°C,175°C,-55 to 175°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.infineon.com/datasheet/irg7ph50u.pdf,1,1,International Rectifier,IRG7PH50U,,C524030,,942-IRG7PH50U,,IRG7PH50U-ND,,,,,,Transistor,Other,0,0,0,,pcs,25,6.10,USD,,,,1,IGBT with soft recovery diode,"IGBT,Power,1200V,50A,TO-247",,,,,1.0,0,0
,EL-TST-000035,IRG7PH35U,"35A, 1200V, N-Channel IGBT, Co-Pack diode",IGBT 1200V 35A 1.7V,TO-247,IGBT,N-Channel,Trench,1200V,±20V,35A,70A,1.7V,283W,,20kHz,TO-247-3,15.87x20.82mm,20.82mm,Through Hole,-55°C,175°C,-55 to 175°C,1,MyLib_Transistor:Q_NIGBT_GCE,MyLib_PKG_TO_SOT_THT:TO-247-3_Vertical,,https://www.infineon.com/datasheet/irg7ph35u.pdf,1,1,International Rectifier,IRG7PH35U,,C524029,,942-IRG7PH35U,,IRG7PH35U-ND,,,,,,Transistor,Other,0,0,0,,pcs,25,5.45,USD,,,,1,IGBT with soft recovery diode,"IGBT,Power,1200V,35A,TO-247",,,,,1.0,0,0
,EL-TST-000036,BDX53C,"NPN Darlington Power Transistor, 100V, 8A",Darlington 100V 8A 2V,TO-220,Darlington,Power,Bipolar,100V,,8A,12A,2V,65W,750,4MHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.onsemi.com/pdf/datasheet/bdx53c-d.pdf,1,1,ON Semiconductor,BDX53C,,C2253,,512-BDX53C,,BDX53C-ND,,9558617,,TIP122,,Transistor,Other,0,0,0,,pcs,50,0.85,USD,2025-01-15,0.80,Mouser,1,Complementary to BDX54C,"Darlington,Power,NPN,TO-220",,,,,1.0,0,0
,EL-TST-000037,BDX54C,"PNP Darlington Power Transistor, 100V, 8A",Darlington 100V 8A 2V,TO-220,Darlington,Power,Bipolar,-100V,,-8A,-12A,-2V,65W,750,4MHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_PNP_Darlington_ECB,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.onsemi.com/pdf/datasheet/bdx54c-d.pdf,1,1,ON Semiconductor,BDX54C,,C2254,,512-BDX54C,,BDX54C-ND,,9558620,,TIP127,,Transistor,Other,0,0,0,,pcs,50,0.88,USD,2025-01-15,0.82,Mouser,1,Complementary to BDX53C,"Darlington,Power,PNP,TO-220",,,,,1.0,0,0
,EL-TST-000038,TIP122,"NPN Darlington Power Transistor, 100V, 5A",Darlington 100V 5A 2V,TO-220,Darlington,Power,Bipolar,100V,,5A,8A,2V,65W,1000,4MHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.onsemi.com/pdf/datasheet/tip122-d.pdf,1,1,ON Semiconductor,TIP122,,C1057,,512-TIP122,,TIP122-ND,,1467780,,BDX53C,,Transistor,Other,0,0,0,,pcs,50,0.55,USD,2025-01-20,0.52,Digikey,1,Complementary to TIP127,"Darlington,Power,NPN,TO-220",,,,,1.0,0,0
,EL-TST-000039,TIP127,"PNP Darlington Power Transistor, 100V, 5A",Darlington 100V 5A 2V,TO-220,Darlington,Power,Bipolar,-100V,,-5A,-8A,-2V,65W,1000,4MHz,TO-220-3,10.4x14.35mm,14.35mm,Through Hole,-65°C,150°C,-65 to 150°C,1,MyLib_Transistor:Q_PNP_Darlington_ECB,MyLib_PKG_TO_SOT_THT:TO-220-3_Vertical,,https://www.onsemi.com/pdf/datasheet/tip127-d.pdf,1,1,ON Semiconductor,TIP127,,C1058,,512-TIP127,,TIP127-ND,,1467779,,BDX54C,,Transistor,Other,0,0,0,,pcs,50,0.58,USD,2025-01-20,0.55,Digikey,1,Complementary to TIP122,"Darlington,Power,PNP,TO-220",,,,,1.0,0,0
,EL-TST-000040,2N2647,"Silicon N-Channel Unijunction Transistor, 35V, 300mW",UJT 35V 300mW,TO-18,Unijunction,N-Type,Bipolar,35V,,,,,300mW,,1MHz,TO-18-3,5.6x5.6mm,5.6mm,Through Hole,-65°C,125°C,-65 to 125°C,1,MyLib_Transistor:Q_NUJT_BEB,MyLib_PKG_TO_SOT_THT:TO-18-3_Window,,https://www.centralsemi.com/datasheets/2N2647.PDF,1,1,Central Semiconductor,2N2647,,C2701,,610-2N2647,,2N2647-ND,,,,,,Transistor,Other,0,0,0,,pcs,500,0.92,USD,,,,1,Intrinsic Standoff Ratio: 0.68-0.82,"UJT,Unijunction,TO-18",,,,,1.0,0,0
,EL-TST-000041,2N6028,"Programmable Unijunction Transistor, 40V, 300mW, Low leakage",PUT 40V 300mW,TO-92,Unijunction,Programmable,Bipolar,40V,,200mA,,1.5V,300mW,,2MHz,TO-92-3,4.8x5.0mm,5.0mm,Through Hole,-50°C,100°C,-50 to 100°C,1,MyLib_Transistor:Q_NUJT_BEB,MyLib_PKG_TO_SOT_THT:TO-92_Inline,,https://www.onsemi.com/pdf/datasheet/2n6028-d.pdf,1,1,ON Semiconductor,2N6028,,C1303,,512-2N6028,,2N6028-ND,,1095589,,2N6027,,Transistor,Other,0,0,0,,pcs,2000,0.35,USD,,,,1,Low leakage PUT,"PUT,Unijunction,Programmable,TO-92",,,,,1.0,0,0
,EL-TST-000042,BRY39,"Silicon Unijunction Transistor, 70V, 400mW",UJT 70V 400mW,TO-92,Unijunction,N-Type,Bipolar,70V,,,,,400mW,,1MHz,TO-92-3,4.8x5.0mm,5.0mm,Through Hole,-55°C,125°C,-55 to 125°C,1,MyLib_Transistor:Q_NUJT_BEB,MyLib_PKG_TO_SOT_THT:TO-92_Inline,,https://www.nxp.com/datasheet/BRY39.pdf,1,1,NXP,BRY39,,,,,,,,,,,,Transistor,Other,0,0,0,,pcs,100,0.65,USD,,,,1,High voltage UJT,"UJT,Unijunction,TO-92",,,,,1.0,0,0
,EL-TST-000043,TIL78,"NPN Phototransistor, 30V, 100mW, T-1 package",Phototransistor 30V 100mW,T-1,Phototransistor,NPN,Bipolar,30V,,20mA,,0.5V,100mW,300,,T-1,3.0x4.5mm,4.5mm,Through Hole,-40°C,85°C,-40 to 85°C,1,MyLib_Transistor:Q_Photo_NPN_CE,MyLib_PKG_DIP:DIP-4_W7.62mm,,https://www.vishay.com/docs/81132/til78.pdf,1,1,Vishay,TIL78,,C72151,,78-TIL78,,751-TIL78-ND,,,,,,Transistor,Other,0,0,0,,pcs,1000,0.15,USD,,,,1,3mm phototransistor,"Phototransistor,NPN,T-1",,,,,1.0,0,0
,EL-TST-000044,BPW77NA,"NPN Phototransistor, 70V, 250mW, high speed",Phototransistor 70V 250mW,5mm,Phototransistor,NPN,Bipolar,70V,,50mA,,0.3V,250mW,800,,5mm_Lead_DIP,5.0x5.0mm,8.6mm,Through Hole,-40°C,100°C,-40 to 100°C,1,MyLib_Transistor:Q_Photo_NPN_CE,MyLib_PKG_DIP:DIP-4_W7.62mm,,https://www.vishay.com/docs/81517/bpw77na.pdf,1,1,Vishay,BPW77NA,,C72152,,78-BPW77NA,,751-BPW77NA-ND,,,,,,Transistor,Other,0,0,0,,pcs,500,0.22,USD,,,,1,High voltage phototransistor,"Phototransistor,NPN,5mm,HighVoltage",,,,,1.0,0,0
