KeyId,MyPN,Name,Description,Value,Value2,Type,Material,VCEO,VCBO,VEBO,IC_Continuous,IC_Peak,IB_Continuous,Power_Total,HFE_Min,HFE_Max,HFE_Test_Condition,VCE_Sat_Max,VBE_Sat_Max,FT,CC,Polarity,Complement_PN,Package,Dimensions,Height,Mount,MinTemp,MaxTemp,Operating_Temp,MSL_Rating,Symbol,Footprint,Footprint_Filter,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
,EL-TST-000016,FFB2222A,"600mA IC, 40V Vce, Dual NPN/NPN Transistors, SOT-363",Dual NPN 40V 0.6A,,NPN,Silicon,40V,,,0.6A,,,0.3W,,,,,,250MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000017,FFB3904,"200mA IC, 40V Vce, Dual NPN/NPN Transistors, SOT-363",Dual NPN 40V 0.2A,,NPN,Silicon,40V,,,0.2A,,,0.3W,,,,,,300MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000018,FFB3906,"200mA IC, 40V Vce, Dual PNP/PNP Transistors, SOT-363",Dual PNP 40V 0.2A,,PNP,Silicon,-40V,,,-0.2A,,,0.3W,,,,,,250MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_PNP_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000019,FFB3946,"200mA IC, 40V Vce, Dual NPN/PNP Transistors, SOT-363",Dual NPN/PNP 40V 0.2A,,NPN/PNP,Silicon,40V,,,0.2A,,,0.3W,,,,,,250MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_PNP,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Complementary,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000020,FFB5551,"200mA IC, 160V Vce, Dual NPN/NPN Transistors, SOT-363",Dual NPN 160V 0.2A,,NPN,Silicon,160V,,,0.2A,,,0.3W,,,,,,100MHz,,,,SOT-363,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_NPN,MyLib_Package_TO_SOT_SMD:SOT-363_SC-70-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Dual,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000021,FMB2227A,"500mA IC, 30V Vce, Dual NPN/PNP Transistors, SuperSOT-6",Dual NPN/PNP 30V 0.5A,,NPN/PNP,Silicon,30V,,,0.5A,,,,,,,,,250MHz,,,,SuperSOT-6,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_PNP,MyLib_Package_TO_SOT_SMD:SuperSOT-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Complementary,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000022,FMB3946,"200mA IC, 40V Vce, Dual NPN/PNP Transistors, SuperSOT-6",Dual NPN/PNP 40V 0.2A,,NPN/PNP,Silicon,40V,,,0.2A,,,,,,,,,250MHz,,,,SuperSOT-6,,,SMD,,,,,MyLib_Transistor:Q_Dual_NPN_PNP,MyLib_Package_TO_SOT_SMD:SuperSOT-6,,,,,,,,,,,,,,,,,,Transistor,BJT_Complementary,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000023,TIP120,"5A Ic, 60V Vce, Silicon Darlington Power NPN Transistor, TO-220",NPN Darlington 60V 5A,,NPN,Silicon,60V,60V,5V,5A,,,65W,1000,,,2.0V,,2.5MHz,,,EL-TST-000024,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000024,TIP125,"5A Ic, 60V Vce, Silicon Darlington Power PNP Transistor, TO-220",PNP Darlington 60V 5A,,PNP,Silicon,-60V,-60V,-5V,-5A,,,65W,1000,,,-2.0V,,2.5MHz,,,EL-TST-000023,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000025,TIP121,"5A Ic, 80V Vce, Silicon Darlington Power NPN Transistor, TO-220",NPN Darlington 80V 5A,,NPN,Silicon,80V,80V,5V,5A,,,65W,1000,,,2.0V,,2.5MHz,,,EL-TST-000026,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000026,TIP126,"5A Ic, 80V Vce, Silicon Darlington Power PNP Transistor, TO-220",PNP Darlington 80V 5A,,PNP,Silicon,-80V,-80V,-5V,-5A,,,65W,1000,,,-2.0V,,2.5MHz,,,EL-TST-000025,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000027,TIP122,"5A Ic, 100V Vce, Silicon Darlington Power NPN Transistor, TO-220",NPN Darlington 100V 5A,,NPN,Silicon,100V,100V,5V,5A,,,65W,1000,,,2.0V,,2.5MHz,,,EL-TST-000028,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000028,TIP127,"5A Ic, 100V Vce, Silicon Darlington Power PNP Transistor, TO-220",PNP Darlington 100V 5A,,PNP,Silicon,-100V,-100V,-5V,-5A,,,65W,1000,,,-2.0V,,2.5MHz,,,EL-TST-000027,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000029,BDW93,"12A Ic, 45V Vce, Power Darlington NPN Transistor, TO-220",NPN Darlington 45V 12A,,NPN,Silicon,45V,45V,5V,12A,,,90W,750,18000,,2.0V,,,,,EL-TST-000033,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000030,BDW93A,"12A Ic, 60V Vce, Power Darlington NPN Transistor, TO-220",NPN Darlington 60V 12A,,NPN,Silicon,60V,60V,5V,12A,,,90W,750,18000,,2.0V,,,,,EL-TST-000034,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000031,BDW93B,"12A Ic, 80V Vce, Power Darlington NPN Transistor, TO-220",NPN Darlington 80V 12A,,NPN,Silicon,80V,80V,5V,12A,,,90W,750,18000,,2.0V,,,,,EL-TST-000035,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000032,BDW93C,"12A Ic, 100V Vce, Power Darlington NPN Transistor, TO-220",NPN Darlington 100V 12A,,NPN,Silicon,100V,100V,5V,12A,,,90W,750,18000,,2.0V,,,,,EL-TST-000036,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000033,BDW94,"12A Ic, 45V Vce, Power Darlington PNP Transistor, TO-220",PNP Darlington 45V 12A,,PNP,Silicon,-45V,-45V,-5V,-12A,,,90W,750,18000,,-2.0V,,,,,EL-TST-000029,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000034,BDW94A,"12A Ic, 60V Vce, Power Darlington PNP Transistor, TO-220",PNP Darlington 60V 12A,,PNP,Silicon,-60V,-60V,-5V,-12A,,,90W,750,18000,,-2.0V,,,,,EL-TST-000030,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000035,BDW94B,"12A Ic, 80V Vce, Power Darlington PNP Transistor, TO-220",PNP Darlington 80V 12A,,PNP,Silicon,-80V,-80V,-5V,-12A,,,90W,750,18000,,-2.0V,,,,,EL-TST-000031,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000036,BDW94C,"12A Ic, 100V Vce, Power Darlington PNP Transistor, TO-220",PNP Darlington 100V 12A,,PNP,Silicon,-100V,-100V,-5V,-12A,,,90W,750,18000,,-2.0V,,,,,EL-TST-000032,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_Darlington_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT_Darlington,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000037,2SD1047,"12A Ic, 140V Vce, Silicon Power NPN Transistors, TO-3PB",NPN 140V 12A,,NPN,Silicon,140V,140V,5V,12A,,,100W,50,,,1.5V,,20MHz,,,EL-TST-000038,TO-3PB,,,Through Hole,,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-3PB-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000038,2SB817,"-12A Ic, -140V Vce, Silicon Power PNP Transistors, TO-3PB",PNP 140V 12A,,PNP,Silicon,-140V,-140V,-5V,-12A,,,100W,50,,,-1.5V,,20MHz,,,EL-TST-000037,TO-3PB,,,Through Hole,,150°C,,,MyLib_Transistor:Q_PNP_BCE,MyLib_Package_TO_SOT_THT:TO-3PB-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000039,2N3055,"15A Ic, 60V Vce, Power NPN Transistor, TO-3",NPN 60V 15A,,NPN,Silicon,60V,100V,7V,15A,,,115W,20,70,,1.1V,,2.5MHz,,,EL-TST-000040,TO-3,,,Through Hole,-65°C,200°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000040,MJ2955,"-15A Ic, -60V Vce, Power PNP Transistor, TO-3",PNP 60V 15A,,PNP,Silicon,-60V,-100V,-7V,-15A,,,115W,20,70,,-1.1V,,2.5MHz,,,EL-TST-000039,TO-3,,,Through Hole,-65°C,200°C,,,MyLib_Transistor:Q_PNP_BCE,MyLib_Package_TO_SOT_THT:TO-3,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000041,TIP3055,"15A Ic, 60V Vce, Power NPN Transistor, TO-218",NPN 60V 15A,,NPN,Silicon,60V,100V,7V,15A,,,90W,20,70,,1.1V,,2.5MHz,,,EL-TST-000042,TO-218,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-218-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000042,TIP2955,"-15A Ic, -60V Vce, Power PNP Transistor, TO-218",PNP 60V 15A,,PNP,Silicon,-60V,-100V,-7V,-15A,,,90W,20,70,,-1.1V,,2.5MHz,,,EL-TST-000041,TO-218,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_PNP_BCE,MyLib_Package_TO_SOT_THT:TO-218-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000043,BF457,"0.1A Ic, 160V Vce, High Voltage NPN Transistor, TO-126",NPN 160V 0.1A,,NPN,Silicon,160V,160V,5V,0.1A,,,0.8W,30,,,0.5V,,50MHz,,,,TO-126,,,Through Hole,,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-126-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000044,BF458,"0.1A Ic, 250V Vce, High Voltage NPN Transistor, TO-126",NPN 250V 0.1A,,NPN,Silicon,250V,250V,5V,0.1A,,,0.8W,30,,,0.5V,,50MHz,,,,TO-126,,,Through Hole,,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-126-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000045,BF459,"0.1A Ic, 300V Vce, High Voltage NPN Transistor, TO-126",NPN 300V 0.1A,,NPN,Silicon,300V,300V,5V,0.1A,,,0.8W,30,,,0.5V,,50MHz,,,,TO-126,,,Through Hole,,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-126-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000046,MJE13003,"1.5A Ic, 400V Vce, Silicon Switching Power NPN Transistor, TO-225",NPN 400V 1.5A,,NPN,Silicon,400V,400V,5V,1.5A,,,40W,5,25,,1.0V,,4MHz,,,,TO-126,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-126-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000047,MJE13005G,"4A Ic, 400V Vce, Silicon Switching Power NPN Transistors, TO-220",NPN 400V 4A,,NPN,Silicon,400V,400V,5V,4A,,,75W,5,25,,1.0V,,4MHz,,,,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000048,MJE13007G,"8A Ic, 400V Vce, Silicon Switching Power NPN Transistors, TO-220",NPN 400V 8A,,NPN,Silicon,400V,400V,5V,8A,,,80W,5,25,,1.0V,,4MHz,,,,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000049,MJE13009G,"12A Ic, 400V Vce, Silicon Switching Power NPN Transistors, TO-220",NPN 400V 12A,,NPN,Silicon,400V,400V,5V,12A,,,100W,5,25,,1.0V,,4MHz,,,,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000050,BUT11,"5A Ic, 400V Vce, Silicon Power NPN Transistors, TO-220",NPN 400V 5A,,NPN,Silicon,400V,400V,5V,5A,,,100W,15,,,1.0V,,15MHz,,,,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000051,BUT11A,"5A Ic, 450V Vce, Silicon Power NPN Transistors, TO-220",NPN 450V 5A,,NPN,Silicon,450V,450V,5V,5A,,,100W,15,,,1.0V,,15MHz,,,,TO-220,,,Through Hole,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BCE,MyLib_Package_TO_SOT_THT:TO-220-3_Vertical,,,,,,,,,,,,,,,,,,Transistor,BJT,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000052,BF199,"50mA Ic, 25V Vce, NPN Radio Frequency Transistor, TO-92",NPN 25V 50mA 550MHz RF,,NPN,Silicon,25V,40V,4V,50mA,,,0.35W,20,,,0.25V,,550MHz,,,,TO-92,,,Through Hole,-55°C,150°C,,,MyLib_Transistor:Q_NPN_EBC,MyLib_Package_TO_SOT_THT:TO-92_Inline,,,,,,,,,,,,,,,,,,Transistor,BJT_RF,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000053,BFR92,"0.025A Ic, 15V Vce, 5GHz Wideband NPN Transistor, SOT-323",NPN 15V 25mA 5GHz,,NPN,Silicon,15V,20V,2.5V,25mA,,,0.2W,50,200,,0.3V,,5GHz,,,,SOT-323,,,SMD,-65°C,150°C,,,MyLib_Transistor:Q_NPN_BEC,MyLib_Package_TO_SOT_SMD:SOT-323_SC-70,,,,,,,,,,,,,,,,,,Transistor,BJT_RF,,,,,pcs,,,,,,,1,,,,,,,,0,0
,EL-TST-000054,BFT92,"0.025A Ic, 15V Vce, 5GHz Wideband PNP Transistor, SOT-23",PNP 15V 25mA 5GHz,,PNP,Silicon,-15V,-20V,-2.5V,-25mA,,,0.2W,40,200,,-0.3V,,5GHz,,,,SOT-23,,,SMD,-65°C,150°C,,,MyLib_Transistor:Q_PNP_BEC,MyLib_Package_TO_SOT_SMD:SOT-23,,,,,,,,,,,,,,,,,,Transistor,BJT_RF,,,,,pcs,,,,,,,1,,,,,,,,0,0
